 Example 1 - Column Test

 Program SWMS_2D
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = sec  , M = -


 Time  ***     60.0000 ***

    n    x(n)  z(n)     vx(n)     vx(n+1) ...
   93      .0    18.0   .00E+00  -.57E-11
   95      .0    16.0   .00E+00   .00E+00
   97      .0    14.0   .00E+00   .00E+00
   99      .0    12.0   .00E+00   .00E+00
  101      .0    10.0  -.57E-11   .00E+00
  103      .0     8.0  -.25E-10  -.11E-10
  105      .0     6.0  -.42E-10  -.32E-10
  107      .0     4.0   .32E-09  -.44E-10
  109      .0     2.0   .70E-08   .70E-09
  111      .0      .0   .20E-07   .10E-07


 Time  ***   5400.0000 ***

    n    x(n)  z(n)     vx(n)     vx(n+1) ...

    1      .0    61.0   .40E-08   .00E+00
    3      .0    60.8   .11E-07   .53E-08
    5      .0    60.5   .23E-07   .15E-07
    7      .0    60.3   .40E-07   .27E-07
    9      .0    60.0   .55E-07   .47E-07
   11      .0    59.5   .58E-07   .55E-07
   13      .0    59.0   .46E-07   .61E-07
   15      .0    58.0   .84E-08   .29E-07
   17      .0    57.0   .18E-08   .54E-08
   19      .0    56.0   .63E-09   .13E-08
   21      .0    55.0   .40E-09   .57E-09
   23      .0    54.0   .11E-09   .28E-09
   25      .0    53.0  -.11E-09   .57E-10
   27      .0    52.0  -.34E-09  -.23E-09
   29      .0    51.0  -.34E-09  -.34E-09
   31      .0    50.0  -.45E-09  -.34E-09
   33      .0    49.0  -.68E-09  -.57E-09
   35      .0    48.0  -.68E-09  -.68E-09
   37      .0    47.0  -.90E-09  -.68E-09
   39      .0    46.0  -.14E-08  -.11E-08
   41      .0    45.0  -.16E-08  -.13E-08
   43      .0    44.0  -.20E-08  -.18E-08
   45      .0    43.0  -.20E-08  -.20E-08
   47      .0    42.0  -.20E-08  -.20E-08
   49      .0    41.0  -.22E-08  -.20E-08
   51      .0    40.0  -.27E-08  -.25E-08
   53      .0    39.0  -.27E-08  -.27E-08
   55      .0    38.0  -.27E-08  -.27E-08
   57      .0    37.0  -.20E-08  -.27E-08
   59      .0    36.0   .31E-08  -.13E-08
   61      .0    35.0   .32E-07   .69E-08
   63      .0    34.0   .20E-06   .54E-07
   65      .0    33.0   .11E-05   .32E-06
   67      .0    32.0   .18E-05   .17E-05
   69      .0    31.0   .75E-06   .13E-05
   71      .0    30.0   .80E-06   .69E-06
   73      .0    29.0   .13E-05   .91E-06
   75      .0    28.0   .18E-05   .14E-05
   77      .0    27.0   .17E-05   .17E-05
   79      .0    26.0   .15E-05   .14E-05
   81      .0    25.0   .20E-05   .15E-05
   83      .0    24.0   .28E-05   .19E-05
   85      .0    23.0   .34E-05   .28E-05
   87      .0    22.0   .46E-05   .27E-05
   89      .0    21.0   .11E-04   .48E-05
   91      .0    20.0   .50E-05   .10E-04
   93      .0    18.0  -.24E-04  -.11E-05
   95      .0    16.0  -.95E-05  -.62E-05
   97      .0    14.0  -.92E-06  -.13E-05
   99      .0    12.0  -.26E-07  -.36E-06
  101      .0    10.0  -.55E-09  -.13E-07
  103      .0     8.0  -.53E-10  -.30E-09
  105      .0     6.0  -.75E-10  -.67E-10
  107      .0     4.0   .25E-09  -.69E-10
  109      .0     2.0   .55E-08   .57E-09
  111      .0      .0   .15E-07   .81E-08
