 Example 1 - Column Test                                                 
 
 Program SWMS_2D
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = sec  , M = -    


 Time  ***     60.0000 ***

    n    x(n)  z(n)     vz(n)     vz(n+1) ...
   91      .0    20.0  -.37E-06  -.37E-06
   93      .0    18.0  -.37E-06  -.37E-06
   95      .0    16.0  -.37E-06  -.37E-06
   97      .0    14.0  -.37E-06  -.37E-06
   99      .0    12.0  -.37E-06  -.37E-06
  101      .0    10.0  -.37E-06  -.37E-06
  103      .0     8.0  -.37E-06  -.37E-06
  105      .0     6.0  -.37E-06  -.37E-06
  107      .0     4.0  -.35E-06  -.36E-06
  109      .0     2.0  -.23E-06  -.29E-06
  111      .0      .0  -.18E-06  -.19E-06


 Time  ***   2700.0000 ***

    n    x(n)  z(n)     vz(n)     vz(n+1) ...

    1      .0    61.0  -.14E-02  -.14E-02
    3      .0    60.8  -.14E-02  -.14E-02
    5      .0    60.5  -.14E-02  -.14E-02
    7      .0    60.3  -.14E-02  -.14E-02
    9      .0    60.0  -.14E-02  -.14E-02
   11      .0    59.5  -.14E-02  -.14E-02
   13      .0    59.0  -.14E-02  -.14E-02
   15      .0    58.0  -.14E-02  -.14E-02
   17      .0    57.0  -.14E-02  -.14E-02
   19      .0    56.0  -.14E-02  -.14E-02
   21      .0    55.0  -.14E-02  -.14E-02
   23      .0    54.0  -.14E-02  -.14E-02
   25      .0    53.0  -.14E-02  -.14E-02
   27      .0    52.0  -.14E-02  -.14E-02
   29      .0    51.0  -.14E-02  -.14E-02
   31      .0    50.0  -.14E-02  -.14E-02
   33      .0    49.0  -.14E-02  -.14E-02
   35      .0    48.0  -.14E-02  -.14E-02
   37      .0    47.0  -.14E-02  -.14E-02
   39      .0    46.0  -.13E-02  -.13E-02
   41      .0    45.0  -.13E-02  -.13E-02
   43      .0    44.0  -.13E-02  -.13E-02
   45      .0    43.0  -.13E-02  -.13E-02
   47      .0    42.0  -.13E-02  -.13E-02
   49      .0    41.0  -.13E-02  -.12E-02
   51      .0    40.0  -.13E-02  -.12E-02
   53      .0    39.0  -.12E-02  -.12E-02
   55      .0    38.0  -.12E-02  -.11E-02
   57      .0    37.0  -.11E-02  -.11E-02
   59      .0    36.0  -.11E-02  -.10E-02
   61      .0    35.0  -.99E-03  -.89E-03
   63      .0    34.0  -.88E-03  -.77E-03
   65      .0    33.0  -.71E-03  -.58E-03
   67      .0    32.0  -.43E-03  -.35E-03
   69      .0    31.0  -.93E-04  -.11E-03
   71      .0    30.0  -.11E-04  -.18E-04
   73      .0    29.0  -.16E-05  -.31E-05
   75      .0    28.0  -.45E-06  -.55E-06
   77      .0    27.0  -.38E-06  -.38E-06
   79      .0    26.0  -.37E-06  -.38E-06
   81      .0    25.0  -.37E-06  -.37E-06
   83      .0    24.0  -.37E-06  -.37E-06
   85      .0    23.0  -.37E-06  -.37E-06
   87      .0    22.0  -.37E-06  -.37E-06
   89      .0    21.0  -.37E-06  -.37E-06
   91      .0    20.0  -.37E-06  -.37E-06
   93      .0    18.0  -.37E-06  -.37E-06
   95      .0    16.0  -.37E-06  -.37E-06
   97      .0    14.0  -.37E-06  -.37E-06
   99      .0    12.0  -.37E-06  -.37E-06
  101      .0    10.0  -.37E-06  -.37E-06
  103      .0     8.0  -.37E-06  -.37E-06
  105      .0     6.0  -.37E-06  -.37E-06
  107      .0     4.0  -.33E-06  -.34E-06
  109      .0     2.0  -.20E-06  -.26E-06
