


                               Node( 31)

     time        hNew    theta    Temp       Conc       Sorb
     13.123       .000   .4450     .000   .102E+01   .211E+01
     13.248       .000   .4450     .000   .988E+00   .205E+01
     13.373       .000   .4450     .000   .957E+00   .199E+01
     13.498       .000   .4450     .000   .926E+00   .194E+01
     13.623       .000   .4450     .000   .897E+00   .188E+01
     13.748       .000   .4450     .000   .868E+00   .183E+01
     13.873       .000   .4450     .000   .841E+00   .178E+01
     13.998       .000   .4450     .000   .814E+00   .173E+01
     14.123       .000   .4450     .000   .788E+00   .168E+01
     14.248       .000   .4450     .000   .763E+00   .163E+01
     14.372       .000   .4450     .000   .739E+00   .159E+01
     14.497       .000   .4450     .000   .715E+00   .154E+01
     14.622       .000   .4450     .000   .692E+00   .150E+01
     14.747       .000   .4450     .000   .670E+00   .146E+01
     14.872       .000   .4450     .000   .649E+00   .141E+01
     14.997       .000   .4450     .000   .628E+00   .137E+01
     15.122       .000   .4450     .000   .608E+00   .133E+01
     15.247       .000   .4450     .000   .589E+00   .130E+01
     15.372       .000   .4450     .000   .570E+00   .126E+01
     15.497       .000   .4450     .000   .551E+00   .122E+01
     15.622       .000   .4450     .000   .534E+00   .119E+01
     15.747       .000   .4450     .000   .517E+00   .115E+01
     15.872       .000   .4450     .000   .500E+00   .112E+01
     15.997       .000   .4450     .000   .484E+00   .109E+01
     16.121       .000   .4450     .000   .469E+00   .106E+01
     16.246       .000   .4450     .000   .454E+00   .103E+01
     16.371       .000   .4450     .000   .439E+00   .997E+00
     16.496       .000   .4450     .000   .425E+00   .968E+00
     16.621       .000   .4450     .000   .411E+00   .940E+00
     16.746       .000   .4450     .000   .398E+00   .913E+00
     16.871       .000   .4450     .000   .385E+00   .887E+00
     16.996       .000   .4450     .000   .373E+00   .861E+00
     17.121       .000   .4450     .000   .361E+00   .836E+00
     17.246       .000   .4450     .000   .349E+00   .811E+00
     17.371       .000   .4450     .000   .338E+00   .788E+00
     17.496       .000   .4450     .000   .327E+00   .765E+00
     17.621       .000   .4450     .000   .317E+00   .742E+00
     17.746       .000   .4450     .000   .306E+00   .721E+00
     17.870       .000   .4450     .000   .297E+00   .700E+00
     17.995       .000   .4450     .000   .287E+00   .679E+00
     18.120       .000   .4450     .000   .278E+00   .659E+00
     18.245       .000   .4450     .000   .269E+00   .640E+00
     18.370       .000   .4450     .000   .260E+00   .621E+00
     18.495       .000   .4450     .000   .252E+00   .603E+00
     18.620       .000   .4450     .000   .244E+00   .585E+00
     18.745       .000   .4450     .000   .236E+00   .568E+00
     18.870       .000   .4450     .000   .228E+00   .551E+00
     18.995       .000   .4450     .000   .221E+00   .535E+00
     19.120       .000   .4450     .000   .214E+00   .519E+00
     19.245       .000   .4450     .000   .207E+00   .503E+00
     19.370       .000   .4450     .000   .200E+00   .489E+00
     19.494       .000   .4450     .000   .194E+00   .474E+00
     19.619       .000   .4450     .000   .187E+00   .460E+00
     19.744       .000   .4450     .000   .181E+00   .446E+00
     19.869       .000   .4450     .000   .175E+00   .433E+00
     19.935       .000   .4450     .000   .172E+00   .426E+00
     20.000       .000   .4450     .000   .169E+00   .420E+00
