

 Time  ***     60.0000 ***

    n    x(n)  z(n)     vz(n)     vz(n+1) ...
   31      .0    50.0  -.15E-02  -.16E-02
   33      .0    49.0  -.15E-02  -.15E-02
   35      .0    48.0  -.15E-02  -.15E-02
   37      .0    47.0  -.15E-02  -.15E-02
   39      .0    46.0  -.15E-02  -.14E-02
   41      .0    45.0  -.15E-02  -.14E-02
   43      .0    44.0  -.14E-02  -.13E-02
   45      .0    43.0  -.14E-02  -.13E-02
   47      .0    42.0  -.13E-02  -.12E-02
   49      .0    41.0  -.12E-02  -.11E-02
   51      .0    40.0  -.11E-02  -.91E-03
   53      .0    39.0  -.83E-03  -.68E-03
   55      .0    38.0  -.46E-03  -.38E-03
   57      .0    37.0  -.76E-04  -.94E-04
   59      .0    36.0  -.87E-05  -.15E-04
   61      .0    35.0  -.13E-05  -.24E-05
   63      .0    34.0  -.43E-06  -.49E-06
   65      .0    33.0  -.38E-06  -.38E-06
   67      .0    32.0  -.37E-06  -.37E-06
   69      .0    31.0  -.37E-06  -.37E-06
   71      .0    30.0  -.37E-06  -.37E-06
   73      .0    29.0  -.37E-06  -.37E-06
   75      .0    28.0  -.37E-06  -.37E-06
   77      .0    27.0  -.37E-06  -.37E-06
   79      .0    26.0  -.37E-06  -.37E-06
   81      .0    25.0  -.37E-06  -.37E-06
   83      .0    24.0  -.37E-06  -.37E-06
   85      .0    23.0  -.37E-06  -.37E-06
   87      .0    22.0  -.37E-06  -.37E-06
   89      .0    21.0  -.37E-06  -.37E-06
   91      .0    20.0  -.37E-06  -.37E-06
   93      .0    18.0  -.37E-06  -.37E-06
   95      .0    16.0  -.37E-06  -.37E-06
   97      .0    14.0  -.37E-06  -.37E-06
   99      .0    12.0  -.37E-06  -.37E-06
  101      .0    10.0  -.37E-06  -.37E-06
  103      .0     8.0  -.37E-06  -.37E-06
  105      .0     6.0  -.37E-06  -.37E-06
  107      .0     4.0  -.35E-06  -.36E-06
  109      .0     2.0  -.23E-06  -.29E-06
  111      .0      .0  -.18E-06  -.19E-06


 Time  ***   2700.0000 ***

    n    x(n)  z(n)     vz(n)     vz(n+1) ...

    1      .0    61.0  -.14E-02  -.14E-02
    3      .0    60.8  -.14E-02  -.14E-02
    5      .0    60.5  -.14E-02  -.14E-02
    7      .0    60.3  -.14E-02  -.14E-02
    9      .0    60.0  -.14E-02  -.14E-02
   11      .0    59.5  -.14E-02  -.14E-02
   13      .0    59.0  -.14E-02  -.14E-02
   15      .0    58.0  -.14E-02  -.14E-02
   17      .0    57.0  -.14E-02  -.14E-02
   19      .0    56.0  -.14E-02  -.14E-02
   21      .0    55.0  -.14E-02  -.14E-02
   23      .0    54.0  -.14E-02  -.14E-02
   25      .0    53.0  -.14E-02  -.14E-02
   27      .0    52.0  -.14E-02  -.14E-02
   29      .0    51.0  -.14E-02  -.14E-02
   31      .0    50.0  -.14E-02  -.14E-02
   33      .0    49.0  -.14E-02  -.14E-02
   35      .0    48.0  -.14E-02  -.14E-02
   37      .0    47.0  -.14E-02  -.14E-02
   39      .0    46.0  -.13E-02  -.13E-02
   41      .0    45.0  -.13E-02  -.13E-02
   43      .0    44.0  -.13E-02  -.13E-02
   45      .0    43.0  -.13E-02  -.13E-02
   47      .0    42.0  -.13E-02  -.13E-02
   49      .0    41.0  -.13E-02  -.12E-02
   51      .0    40.0  -.13E-02  -.12E-02
   53      .0    39.0  -.12E-02  -.12E-02
   55      .0    38.0  -.12E-02  -.11E-02
   57      .0    37.0  -.11E-02  -.11E-02
   59      .0    36.0  -.11E-02  -.99E-03
   61      .0    35.0  -.99E-03  -.89E-03
   63      .0    34.0  -.88E-03  -.76E-03
   65      .0    33.0  -.70E-03  -.58E-03
   67      .0    32.0  -.42E-03  -.35E-03
   69      .0    31.0  -.98E-04  -.11E-03
   71      .0    30.0  -.12E-04  -.20E-04
   73      .0    29.0  -.19E-05  -.36E-05
   75      .0    28.0  -.49E-06  -.62E-06
   77      .0    27.0  -.38E-06  -.39E-06
   79      .0    26.0  -.38E-06  -.38E-06
   81      .0    25.0  -.37E-06  -.37E-06
   83      .0    24.0  -.37E-06  -.37E-06
   85      .0    23.0  -.37E-06  -.37E-06
   87      .0    22.0  -.37E-06  -.37E-06
   89      .0    21.0  -.37E-06  -.37E-06
   91      .0    20.0  -.37E-06  -.37E-06
   93      .0    18.0  -.37E-06  -.37E-06
   95      .0    16.0  -.37E-06  -.37E-06
   97      .0    14.0  -.37E-06  -.37E-06
   99      .0    12.0  -.37E-06  -.37E-06
  101      .0    10.0  -.37E-06  -.37E-06
  103      .0     8.0  -.37E-06  -.37E-06
  105      .0     6.0  -.37E-06  -.37E-06
  107      .0     4.0  -.33E-06  -.34E-06
  109      .0     2.0  -.20E-06  -.26E-06
  111      .0      .0  -.14E-06  -.15E-06


 Time  ***   3600.0000 ***

    n    x(n)  z(n)     vz(n)     vz(n+1) ...

    1      .0    61.0  -.13E-02  -.13E-02
    3      .0    60.8  -.13E-02  -.13E-02
    5      .0    60.5  -.13E-02  -.13E-02
    7      .0    60.3  -.13E-02  -.13E-02
    9      .0    60.0  -.13E-02  -.13E-02
   11      .0    59.5  -.13E-02  -.13E-02
   13      .0    59.0  -.13E-02  -.13E-02
   15      .0    58.0  -.13E-02  -.13E-02
   17      .0    57.0  -.13E-02  -.13E-02
   19      .0    56.0  -.13E-02  -.13E-02
   21      .0    55.0  -.13E-02  -.13E-02
   23      .0    54.0  -.13E-02  -.13E-02
   25      .0    53.0  -.13E-02  -.13E-02
   27      .0    52.0  -.13E-02  -.13E-02
   29      .0    51.0  -.13E-02  -.13E-02
   31      .0    50.0  -.13E-02  -.13E-02
   33      .0    49.0  -.13E-02  -.13E-02
   35      .0    48.0  -.13E-02  -.13E-02
   37      .0    47.0  -.13E-02  -.13E-02
   39      .0    46.0  -.13E-02  -.13E-02
   41      .0    45.0  -.13E-02  -.13E-02
   43      .0    44.0  -.12E-02  -.12E-02
   45      .0    43.0  -.12E-02  -.12E-02
   47      .0    42.0  -.12E-02  -.12E-02
   49      .0    41.0  -.12E-02  -.12E-02
   51      .0    40.0  -.12E-02  -.12E-02
   53      .0    39.0  -.12E-02  -.12E-02
   55      .0    38.0  -.12E-02  -.12E-02
   57      .0    37.0  -.12E-02  -.11E-02
   59      .0    36.0  -.11E-02  -.11E-02
   61      .0    35.0  -.11E-02  -.11E-02
   63      .0    34.0  -.11E-02  -.10E-02
   65      .0    33.0  -.11E-02  -.10E-02
   67      .0    32.0  -.10E-02  -.96E-03
   69      .0    31.0  -.97E-03  -.90E-03
   71      .0    30.0  -.90E-03  -.82E-03
   73      .0    29.0  -.81E-03  -.71E-03
   75      .0    28.0  -.69E-03  -.59E-03
   77      .0    27.0  -.49E-03  -.40E-03
   79      .0    26.0  -.21E-03  -.19E-03
   81      .0    25.0  -.31E-04  -.44E-04
   83      .0    24.0  -.51E-05  -.90E-05
   85      .0    23.0  -.88E-06  -.14E-05
   87      .0    22.0  -.42E-06  -.46E-06
   89      .0    21.0  -.38E-06  -.38E-06
   91      .0    20.0  -.37E-06  -.38E-06
   93      .0    18.0  -.37E-06  -.37E-06
   95      .0    16.0  -.37E-06  -.37E-06
   97      .0    14.0  -.37E-06  -.37E-06
   99      .0    12.0  -.37E-06  -.37E-06
  101      .0    10.0  -.37E-06  -.37E-06
  103      .0     8.0  -.37E-06  -.37E-06
  105      .0     6.0  -.36E-06  -.36E-06
  107      .0     4.0  -.31E-06  -.33E-06
  109      .0     2.0  -.18E-06  -.23E-06
  111      .0      .0  -.12E-06  -.13E-06


 Time  ***   5400.0000 ***

    n    x(n)  z(n)     vz(n)     vz(n+1) ...

    1      .0    61.0  -.12E-02  -.12E-02
    3      .0    60.8  -.12E-02  -.12E-02
    5      .0    60.5  -.12E-02  -.12E-02
    7      .0    60.3  -.12E-02  -.12E-02
    9      .0    60.0  -.12E-02  -.12E-02
   11      .0    59.5  -.12E-02  -.12E-02
   13      .0    59.0  -.12E-02  -.12E-02
   15      .0    58.0  -.12E-02  -.12E-02
   17      .0    57.0  -.12E-02  -.12E-02
   19      .0    56.0  -.12E-02  -.12E-02
   21      .0    55.0  -.12E-02  -.12E-02
   23      .0    54.0  -.12E-02  -.12E-02
   25      .0    53.0  -.12E-02  -.12E-02
   27      .0    52.0  -.12E-02  -.12E-02
   29      .0    51.0  -.12E-02  -.12E-02
   31      .0    50.0  -.12E-02  -.12E-02
   33      .0    49.0  -.12E-02  -.12E-02
   35      .0    48.0  -.12E-02  -.12E-02
   37      .0    47.0  -.12E-02  -.12E-02
   39      .0    46.0  -.12E-02  -.12E-02
   41      .0    45.0  -.12E-02  -.12E-02
   43      .0    44.0  -.11E-02  -.11E-02
   45      .0    43.0  -.11E-02  -.11E-02
   47      .0    42.0  -.11E-02  -.11E-02
   49      .0    41.0  -.11E-02  -.11E-02
   51      .0    40.0  -.11E-02  -.11E-02
   53      .0    39.0  -.11E-02  -.11E-02
   55      .0    38.0  -.11E-02  -.11E-02
   57      .0    37.0  -.11E-02  -.11E-02
   59      .0    36.0  -.11E-02  -.11E-02
   61      .0    35.0  -.11E-02  -.11E-02
   63      .0    34.0  -.11E-02  -.11E-02
   65      .0    33.0  -.11E-02  -.11E-02
   67      .0    32.0  -.11E-02  -.11E-02
   69      .0    31.0  -.10E-02  -.10E-02
   71      .0    30.0  -.10E-02  -.10E-02
   73      .0    29.0  -.10E-02  -.10E-02
   75      .0    28.0  -.10E-02  -.10E-02
   77      .0    27.0  -.10E-02  -.98E-03
   79      .0    26.0  -.98E-03  -.95E-03
   81      .0    25.0  -.96E-03  -.93E-03
   83      .0    24.0  -.93E-03  -.90E-03
   85      .0    23.0  -.91E-03  -.86E-03
   87      .0    22.0  -.86E-03  -.80E-03
   89      .0    21.0  -.82E-03  -.75E-03
   91      .0    20.0  -.82E-03  -.70E-03
   93      .0    18.0  -.53E-03  -.41E-03
   95      .0    16.0  -.12E-03  -.11E-03
   97      .0    14.0  -.78E-05  -.13E-04
   99      .0    12.0  -.12E-05  -.22E-05
  101      .0    10.0  -.41E-06  -.44E-06
  103      .0     8.0  -.37E-06  -.37E-06
  105      .0     6.0  -.34E-06  -.35E-06
  107      .0     4.0  -.28E-06  -.30E-06
  109      .0     2.0  -.15E-06  -.20E-06
  111      .0      .0  -.96E-07  -.99E-07
