 Example 1 - Column Test                                                        
                      
 
 Program CHAIN_2D
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = sec  , M = -    


 Time  ***       .0000 ***

    n    x(n)   z(n)      th(n)     th(n+1) ...
   31      .0    50.0  .310  .310
   33      .0    49.0  .304  .304
   35      .0    48.0  .298  .298
   37      .0    47.0  .292  .292
   39      .0    46.0  .286  .286
   41      .0    45.0  .279  .279
   43      .0    44.0  .272  .271
   45      .0    43.0  .262  .262
   47      .0    42.0  .249  .249
   49      .0    41.0  .233  .233
   51      .0    40.0  .212  .211
   53      .0    39.0  .183  .183
   55      .0    38.0  .144  .146
   57      .0    37.0  .100  .104
   59      .0    36.0  .079  .080
   61      .0    35.0  .077  .077
   63      .0    34.0  .077  .077
   65      .0    33.0  .077  .077
   67      .0    32.0  .077  .077
   69      .0    31.0  .077  .077
   71      .0    30.0  .077  .077
   73      .0    29.0  .077  .077
   75      .0    28.0  .077  .077
   77      .0    27.0  .077  .077
   79      .0    26.0  .077  .077
   81      .0    25.0  .077  .077
   83      .0    24.0  .077  .077
   85      .0    23.0  .077  .077
   87      .0    22.0  .077  .077
   89      .0    21.0  .077  .077
   91      .0    20.0  .077  .077
   93      .0    18.0  .077  .077
   95      .0    16.0  .077  .077
   97      .0    14.0  .077  .077
   99      .0    12.0  .077  .077
  101      .0    10.0  .077  .077
  103      .0     8.0  .077  .077
  105      .0     6.0  .077  .077
  107      .0     4.0  .077  .077
  109      .0     2.0  .077  .077
  111      .0      .0  .077  .077


 Time  ***   2700.0000 ***

    n    x(n)   z(n)      th(n)     th(n+1) ...

    1      .0    61.0  .350  .350
    3      .0    60.8  .350  .350
    5      .0    60.5  .350  .350
    7      .0    60.3  .350  .350
    9      .0    60.0  .350  .350
   11      .0    59.5  .350  .350
   13      .0    59.0  .350  .350
   15      .0    58.0  .348  .348
   17      .0    57.0  .347  .347
   19      .0    56.0  .345  .345
   21      .0    55.0  .342  .342
   23      .0    54.0  .339  .339
   25      .0    53.0  .336  .336
   27      .0    52.0  .332  .332
   29      .0    51.0  .328  .328
   31      .0    50.0  .324  .324
   33      .0    49.0  .319  .319
   35      .0    48.0  .315  .315
   37      .0    47.0  .310  .310
   39      .0    46.0  .306  .306
   41      .0    45.0  .301  .301
   43      .0    44.0  .297  .297
   45      .0    43.0  .292  .292
   47      .0    42.0  .288  .288
   49      .0    41.0  .283  .283
   51      .0    40.0  .278  .278
   53      .0    39.0  .271  .271
   55      .0    38.0  .263  .263
   57      .0    37.0  .254  .254
   59      .0    36.0  .242  .242
   61      .0    35.0  .226  .226
   63      .0    34.0  .206  .206
   65      .0    33.0  .180  .180
   67      .0    32.0  .145  .147
   69      .0    31.0  .105  .109
   71      .0    30.0  .081  .082
   73      .0    29.0  .077  .077
   75      .0    28.0  .077  .077
   77      .0    27.0  .077  .077
   79      .0    26.0  .077  .077
   81      .0    25.0  .077  .077
   83      .0    24.0  .077  .077
   85      .0    23.0  .077  .077
   87      .0    22.0  .077  .077
   89      .0    21.0  .077  .077
   91      .0    20.0  .077  .077
   93      .0    18.0  .077  .077
   95      .0    16.0  .077  .077
   97      .0    14.0  .077  .077
   99      .0    12.0  .077  .077
  101      .0    10.0  .077  .077
  103      .0     8.0  .077  .077
  105      .0     6.0  .077  .077
  107      .0     4.0  .077  .077
  109      .0     2.0  .077  .077
  111      .0      .0  .077  .077


 Time  ***   3600.0000 ***

    n    x(n)   z(n)      th(n)     th(n+1) ...

    1      .0    61.0  .350  .350
    3      .0    60.8  .350  .350
    5      .0    60.5  .350  .350
    7      .0    60.3  .350  .350
    9      .0    60.0  .350  .350
   11      .0    59.5  .350  .350
   13      .0    59.0  .350  .350
   15      .0    58.0  .349  .349
   17      .0    57.0  .348  .348
   19      .0    56.0  .347  .347
   21      .0    55.0  .345  .345
   23      .0    54.0  .343  .343
   25      .0    53.0  .340  .340
   27      .0    52.0  .338  .338
   29      .0    51.0  .335  .335
   31      .0    50.0  .331  .331
   33      .0    49.0  .328  .328
   35      .0    48.0  .325  .325
   37      .0    47.0  .321  .321
   39      .0    46.0  .317  .317
   41      .0    45.0  .313  .313
   43      .0    44.0  .310  .310
   45      .0    43.0  .306  .306
   47      .0    42.0  .302  .302
   49      .0    41.0  .299  .299
   51      .0    40.0  .295  .295
   53      .0    39.0  .291  .291
   55      .0    38.0  .288  .288
   57      .0    37.0  .284  .284
   59      .0    36.0  .279  .279
   61      .0    35.0  .274  .274
   63      .0    34.0  .268  .268
   65      .0    33.0  .261  .261
   67      .0    32.0  .252  .252
   69      .0    31.0  .241  .241
   71      .0    30.0  .228  .227
   73      .0    29.0  .210  .210
   75      .0    28.0  .188  .188
   77      .0    27.0  .159  .159
   79      .0    26.0  .122  .125
   81      .0    25.0  .089  .092
   83      .0    24.0  .078  .079
   85      .0    23.0  .077  .077
   87      .0    22.0  .077  .077
   89      .0    21.0  .077  .077
   91      .0    20.0  .077  .077
   93      .0    18.0  .077  .077
   95      .0    16.0  .077  .077
   97      .0    14.0  .077  .077
   99      .0    12.0  .077  .077
  101      .0    10.0  .077  .077
  103      .0     8.0  .077  .077
  105      .0     6.0  .077  .077
  107      .0     4.0  .077  .077
  109      .0     2.0  .077  .077
  111      .0      .0  .077  .077


 Time  ***   5400.0000 ***

    n    x(n)   z(n)      th(n)     th(n+1) ...

    1      .0    61.0  .350  .350
    3      .0    60.8  .350  .350
    5      .0    60.5  .350  .350
    7      .0    60.3  .350  .350
    9      .0    60.0  .350  .350
   11      .0    59.5  .350  .350
   13      .0    59.0  .350  .350
   15      .0    58.0  .350  .350
   17      .0    57.0  .349  .349
   19      .0    56.0  .348  .348
   21      .0    55.0  .347  .347
   23      .0    54.0  .346  .346
   25      .0    53.0  .345  .345
   27      .0    52.0  .343  .343
   29      .0    51.0  .341  .341
   31      .0    50.0  .339  .339
   33      .0    49.0  .337  .337
   35      .0    48.0  .335  .335
   37      .0    47.0  .332  .332
   39      .0    46.0  .330  .330
   41      .0    45.0  .327  .327
   43      .0    44.0  .324  .324
   45      .0    43.0  .322  .322
   47      .0    42.0  .319  .319
   49      .0    41.0  .316  .316
   51      .0    40.0  .313  .313
   53      .0    39.0  .310  .310
   55      .0    38.0  .307  .307
   57      .0    37.0  .305  .305
   59      .0    36.0  .302  .302
   61      .0    35.0  .299  .299
   63      .0    34.0  .296  .296
   65      .0    33.0  .294  .294
   67      .0    32.0  .291  .291
   69      .0    31.0  .288  .288
   71      .0    30.0  .285  .285
   73      .0    29.0  .282  .282
   75      .0    28.0  .279  .279
   77      .0    27.0  .274  .274
   79      .0    26.0  .270  .270
   81      .0    25.0  .264  .264
   83      .0    24.0  .257  .257
   85      .0    23.0  .249  .249
   87      .0    22.0  .239  .239
   89      .0    21.0  .227  .227
   91      .0    20.0  .212  .212
   93      .0    18.0  .172  .172
   95      .0    16.0  .118  .120
   97      .0    14.0  .081  .083
   99      .0    12.0  .077  .077
  101      .0    10.0  .077  .077
  103      .0     8.0  .077  .077
  105      .0     6.0  .077  .077
  107      .0     4.0  .077  .077
  109      .0     2.0  .077  .077
  111      .0      .0  .078  .078
