

 TLevel   Time         dt      Iter  ItCum
  168    .115E+03    .929E-01    2   343
  169    .115E+03    .130E+00    2   345
  170    .116E+03    .173E+00    2   347
  171    .116E+03    .173E+00    2   349
  172    .116E+03    .173E+00    2   351
  173    .116E+03    .250E+00    2   353
  174    .117E+03    .375E+00    2   355
  175    .117E+03    .375E+00    2   357
  176    .117E+03    .200E-01    1   358
  177    .117E+03    .258E-01    1   359
  178    .117E+03    .341E-01    2   361
  179    .117E+03    .438E-01    2   363
  180    .117E+03    .584E-01    2   365
  181    .117E+03    .744E-01    2   367
  182    .117E+03    .929E-01    2   369
  183    .117E+03    .130E+00    2   371
  184    .118E+03    .173E+00    2   373
  185    .118E+03    .173E+00    2   375
  186    .118E+03    .173E+00    2   377
  187    .118E+03    .200E-01    2   379
  188    .118E+03    .258E-01    2   381
  189    .118E+03    .341E-01    2   383
  190    .118E+03    .438E-01    2   385
  191    .118E+03    .584E-01    2   387
  192    .118E+03    .744E-01    2   389
  193    .118E+03    .929E-01    2   391
  194    .118E+03    .130E+00    2   393
  195    .119E+03    .173E+00    2   395
  196    .119E+03    .173E+00    2   397
  197    .119E+03    .173E+00    2   399
  198    .119E+03    .200E-01    1   400
  199    .119E+03    .258E-01    1   401
  200    .119E+03    .341E-01    1   402
  201    .119E+03    .438E-01    1   403
  202    .119E+03    .584E-01    1   404
  203    .119E+03    .744E-01    1   405
  204    .119E+03    .929E-01    1   406
  205    .119E+03    .130E+00    1   407
  206    .120E+03    .173E+00    2   409
  207    .120E+03    .173E+00    2   411
  208    .120E+03    .173E+00    2   413
  209    .120E+03    .200E-01    2   415
  210    .120E+03    .258E-01    2   417
  211    .120E+03    .341E-01    2   419
  212    .120E+03    .438E-01    3   422
  213    .120E+03    .584E-01    3   425
  214    .120E+03    .744E-01    3   428
  215    .120E+03    .929E-01    3   431
  216    .120E+03    .130E+00    3   434
  217    .121E+03    .173E+00    3   437
  218    .121E+03    .173E+00    3   440
  219    .121E+03    .173E+00    3   443
  220    .121E+03    .250E+00    3   446
  221    .122E+03    .375E+00    2   448
  222    .122E+03    .375E+00    2   450
  223    .122E+03    .200E-01    2   452
  224    .122E+03    .258E-01    2   454
  225    .122E+03    .341E-01    2   456
  226    .122E+03    .438E-01    2   458
  227    .122E+03    .584E-01    2   460
  228    .122E+03    .744E-01    2   462
  229    .122E+03    .929E-01    2   464
  230    .122E+03    .130E+00    2   466
  231    .123E+03    .173E+00    2   468
  232    .123E+03    .173E+00    2   470
  233    .123E+03    .173E+00    1   471
  234    .123E+03    .200E-01    2   473
  235    .123E+03    .258E-01    1   474
  236    .123E+03    .341E-01    1   475
  237    .123E+03    .438E-01    1   476
  238    .123E+03    .584E-01    1   477
  239    .123E+03    .744E-01    1   478
  240    .123E+03    .929E-01    1   479
  241    .123E+03    .130E+00    1   480
  242    .124E+03    .173E+00    1   481
  243    .124E+03    .173E+00    1   482
  244    .124E+03    .173E+00    1   483
  245    .124E+03    .200E-01    2   485
  246    .124E+03    .258E-01    3   488
  247    .124E+03    .341E-01    3   491
  248    .124E+03    .438E-01    3   494
  249    .124E+03    .584E-01    3   497
  250    .124E+03    .744E-01    3   500
  251    .124E+03    .929E-01    3   503
  252    .124E+03    .130E+00    3   506
  253    .125E+03    .173E+00    3   509
  254    .125E+03    .173E+00    3   512
  255    .125E+03    .173E+00    3   515
  256    .125E+03    .200E-01    3   518
  257    .125E+03    .258E-01    3   521
  258    .125E+03    .341E-01    3   524
  259    .125E+03    .438E-01    3   527
  260    .125E+03    .584E-01    3   530
  261    .125E+03    .744E-01    3   533
  262    .125E+03    .929E-01    3   536
  263    .125E+03    .130E+00    3   539
  264    .126E+03    .173E+00    3   542
  265    .126E+03    .173E+00    3   545
  266    .126E+03    .173E+00    3   548
  267    .126E+03    .200E-01    2   550
  268    .126E+03    .258E-01    2   552
  269    .126E+03    .341E-01    2   554
  270    .126E+03    .438E-01    2   556
  271    .126E+03    .584E-01    2   558
  272    .126E+03    .744E-01    2   560
  273    .126E+03    .929E-01    3   563
  274    .126E+03    .130E+00    3   566
  275    .127E+03    .173E+00    3   569
  276    .127E+03    .173E+00    3   572
  277    .127E+03    .173E+00    3   575
  278    .127E+03    .250E+00    2   577
  279    .128E+03    .375E+00    2   579
  280    .128E+03    .375E+00    2   581
  281    .129E+03    .500E+00    2   583
  282    .129E+03    .500E+00    3   586
  283    .130E+03    .500E+00    3   589
  284    .130E+03    .500E+00    3   592
  285    .131E+03    .500E+00    3   595
  286    .131E+03    .500E+00    3   598
  287    .132E+03    .500E+00    3   601
  288    .132E+03    .500E+00    3   604
  289    .133E+03    .500E+00    3   607
  290    .133E+03    .500E+00    3   610
  291    .134E+03    .500E+00    3   613
  292    .134E+03    .500E+00    3   616
  293    .135E+03    .500E+00    3   619
  294    .135E+03    .500E+00    3   622
  295    .136E+03    .500E+00    3   625
  296    .136E+03    .500E+00    3   628
  297    .136E+03    .200E-01    2   630
  298    .136E+03    .258E-01    2   632
  299    .136E+03    .341E-01    2   634
  300    .136E+03    .438E-01    2   636
  301    .136E+03    .584E-01    2   638
  302    .136E+03    .744E-01    2   640
  303    .136E+03    .929E-01    2   642
  304    .136E+03    .130E+00    2   644
  305    .137E+03    .173E+00    2   646
  306    .137E+03    .173E+00    2   648
  307    .137E+03    .173E+00    2   650
  308    .137E+03    .200E-01    2   652
  309    .137E+03    .258E-01    2   654
  310    .137E+03    .341E-01    2   656
  311    .137E+03    .438E-01    2   658
  312    .137E+03    .584E-01    2   660
  313    .137E+03    .744E-01    2   662
  314    .137E+03    .929E-01    2   664
  315    .137E+03    .130E+00    2   666
  316    .138E+03    .173E+00    2   668
  317    .138E+03    .173E+00    2   670
  318    .138E+03    .173E+00    2   672
  319    .138E+03    .200E-01    2   674
  320    .138E+03    .258E-01    2   676
  321    .138E+03    .341E-01    2   678
  322    .138E+03    .438E-01    2   680
  323    .138E+03    .584E-01    2   682
  324    .138E+03    .744E-01    2   684
  325    .138E+03    .929E-01    2   686
  326    .138E+03    .130E+00    2   688
  327    .139E+03    .173E+00    2   690
  328    .139E+03    .173E+00    2   692
  329    .139E+03    .173E+00    2   694
  330    .139E+03    .200E-01    2   696
  331    .139E+03    .258E-01    2   698
  332    .139E+03    .341E-01    2   700
  333    .139E+03    .438E-01    2   702
  334    .139E+03    .584E-01    2   704
  335    .139E+03    .744E-01    2   706
  336    .139E+03    .929E-01    2   708
  337    .139E+03    .130E+00    2   710
  338    .140E+03    .173E+00    2   712
  339    .140E+03    .173E+00    2   714
  340    .140E+03    .173E+00    2   716
  341    .140E+03    .250E+00    2   718
  342    .141E+03    .375E+00    2   720
  343    .141E+03    .375E+00    2   722
  344    .141E+03    .200E-01    2   724
  345    .141E+03    .258E-01    2   726
  346    .141E+03    .341E-01    2   728
  347    .141E+03    .438E-01    2   730
  348    .141E+03    .584E-01    2   732
  349    .141E+03    .744E-01    2   734
  350    .141E+03    .929E-01    2   736
  351    .141E+03    .130E+00    2   738
  352    .142E+03    .173E+00    2   740
  353    .142E+03    .173E+00    2   742
  354    .142E+03    .173E+00    2   744
  355    .142E+03    .200E-01    2   746
  356    .142E+03    .258E-01    1   747
  357    .142E+03    .341E-01    1   748
  358    .142E+03    .438E-01    1   749
  359    .142E+03    .584E-01    1   750
  360    .142E+03    .744E-01    1   751
  361    .142E+03    .929E-01    1   752
  362    .142E+03    .130E+00    1   753
  363    .143E+03    .173E+00    1   754
  364    .143E+03    .173E+00    1   755
  365    .143E+03    .173E+00    1   756
  366    .143E+03    .200E-01    2   758
  367    .143E+03    .258E-01    2   760
  368    .143E+03    .341E-01    2   762
  369    .143E+03    .438E-01    2   764
  370    .143E+03    .584E-01    2   766
  371    .143E+03    .744E-01    2   768
  372    .143E+03    .929E-01    2   770
  373    .143E+03    .130E+00    2   772
  374    .144E+03    .173E+00    2   774
  375    .144E+03    .173E+00    2   776
  376    .144E+03    .173E+00    2   778
  377    .144E+03    .250E+00    2   780
  378    .145E+03    .375E+00    2   782
  379    .145E+03    .375E+00    2   784
  380    .146E+03    .500E+00    3   787
  381    .146E+03    .500E+00    3   790
  382    .146E+03    .200E-01    2   792
  383    .146E+03    .258E-01    2   794
  384    .146E+03    .341E-01    2   796
  385    .146E+03    .438E-01    2   798
  386    .146E+03    .584E-01    2   800
  387    .146E+03    .744E-01    2   802
  388    .146E+03    .929E-01    2   804
  389    .146E+03    .130E+00    2   806
