 Example 2 - Grass Field Problem (Hupselse Beek 1982)

 Program SWMS_2D
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = day  , M = -


 Time  ***    120.0000 ***

    n    x(n)  z(n)     vx(n)     vx(n+1) ...
   61      .0     2.0   .00E+00   .00E+00
   63      .0     1.0   .00E+00   .00E+00
   65      .0      .0   .00E+00   .00E+00


 Time  ***    243.0000 ***

    n    x(n)  z(n)     vx(n)     vx(n+1) ...

    1      .0   230.0  -.11E-03  -.50E-04
    3      .0   229.0  -.21E-03  -.13E-03
    5      .0   228.0  -.20E-03  -.25E-03
    7      .0   226.0  -.87E-04  -.12E-03
    9      .0   224.0  -.15E-03  -.14E-03
   11      .0   220.0  -.34E-04  -.10E-03
   13      .0   215.0   .97E-05  -.14E-04
   15      .0   210.0   .18E-04   .12E-04
   17      .0   205.0   .58E-04   .26E-04
   19      .0   200.0   .16E-03   .95E-04
   21      .0   190.0   .16E-03   .24E-03
   23      .0   180.0  -.22E-03   .18E-03
   25      .0   170.0  -.11E-04  -.14E-03
   27      .0   160.0  -.12E-04  -.14E-04
   29      .0   150.0  -.86E-05  -.11E-04
   31      .0   140.0  -.91E-05  -.11E-04
   33      .0   130.0  -.70E-05  -.93E-05
   35      .0   120.0  -.59E-05  -.89E-05
   37      .0   110.0   .00E+00  -.39E-05
   39      .0   100.0   .00E+00   .00E+00
   41      .0    90.0   .00E+00   .00E+00
   43      .0    80.0   .00E+00   .00E+00
   45      .0    70.0   .00E+00   .00E+00
   47      .0    60.0   .00E+00   .00E+00
   49      .0    50.0   .00E+00   .00E+00
   51      .0    40.0   .00E+00   .00E+00
   53      .0    30.0   .00E+00   .00E+00
   55      .0    20.0   .00E+00   .00E+00
   57      .0    10.0   .00E+00   .00E+00
   59      .0     5.0   .00E+00   .00E+00
   61      .0     2.0   .00E+00   .00E+00
   63      .0     1.0   .00E+00   .00E+00
   65      .0      .0   .00E+00   .00E+00


 Time  ***    273.0000 ***

    n    x(n)  z(n)     vx(n)     vx(n+1) ...

    1      .0   230.0   .37E-02   .57E-02
    3      .0   229.0   .17E-02   .29E-02
    5      .0   228.0   .13E-02   .17E-02
    7      .0   226.0   .73E-03   .70E-03
    9      .0   224.0   .53E-03   .10E-02
   11      .0   220.0  -.16E-02  -.22E-03
   13      .0   215.0  -.21E-02  -.15E-02
   15      .0   210.0  -.12E-02  -.15E-02
   17      .0   205.0  -.61E-03  -.79E-03
   19      .0   200.0  -.39E-03  -.63E-03
   21      .0   190.0   .15E-03  -.99E-04
   23      .0   180.0  -.21E-03   .11E-03
   25      .0   170.0   .12E-04  -.12E-03
   27      .0   160.0   .44E-05   .73E-05
   29      .0   150.0   .73E-05   .11E-04
   31      .0   140.0  -.70E-05  -.23E-05
   33      .0   130.0   .44E-05   .00E+00
   35      .0   120.0  -.57E-05   .00E+00
   37      .0   110.0  -.74E-05  -.74E-05
   39      .0   100.0  -.64E-05  -.96E-05
   41      .0    90.0   .00E+00  -.43E-05
   43      .0    80.0  -.29E-05   .00E+00
   45      .0    70.0  -.79E-05  -.79E-05
   47      .0    60.0   .00E+00  -.56E-05
   49      .0    50.0   .00E+00   .00E+00
   51      .0    40.0   .00E+00   .00E+00
   53      .0    30.0  -.45E-05   .00E+00
   55      .0    20.0  -.14E-04  -.14E-04
   57      .0    10.0   .36E-05  -.11E-04
   59      .0     5.0   .00E+00   .18E-05
   61      .0     2.0   .00E+00   .00E+00
   63      .0     1.0   .00E+00   .00E+00
   65      .0      .0   .00E+00   .00E+00
