


                               Node( 87)

     time        hNew    theta    Temp       Conc       Sorb    
     16.141       .000   .6330     .000   .873E+01   .000E+00
     16.223       .000   .6330     .000   .874E+01   .000E+00
     16.295       .000   .6330     .000   .875E+01   .000E+00
     16.375       .000   .6330     .000   .876E+01   .000E+00
     16.445       .000   .6330     .000   .878E+01   .000E+00
     16.522       .000   .6330     .000   .879E+01   .000E+00
     16.590       .000   .6330     .000   .880E+01   .000E+00
     16.664       .000   .6330     .000   .881E+01   .000E+00
     16.730       .000   .6330     .000   .882E+01   .000E+00
     16.801       .000   .6330     .000   .883E+01   .000E+00
     16.866       .000   .6330     .000   .883E+01   .000E+00
     16.934       .000   .6330     .000   .884E+01   .000E+00
     16.997       .000   .6330     .000   .885E+01   .000E+00
     17.063       .000   .6330     .000   .886E+01   .000E+00
     17.125       .000   .6330     .000   .886E+01   .000E+00
     17.189       .000   .6330     .000   .886E+01   .000E+00
     17.250       .000   .6330     .000   .887E+01   .000E+00
     17.312       .000   .6330     .000   .887E+01   .000E+00
     17.372       .000   .6330     .000   .887E+01   .000E+00
     17.433       .000   .6330     .000   .887E+01   .000E+00
     17.491       .000   .6330     .000   .887E+01   .000E+00
     17.551       .000   .6330     .000   .887E+01   .000E+00
     17.608       .000   .6330     .000   .887E+01   .000E+00
     17.666       .000   .6330     .000   .887E+01   .000E+00
     17.723       .000   .6330     .000   .886E+01   .000E+00
     17.780       .000   .6330     .000   .886E+01   .000E+00
     17.835       .000   .6330     .000   .885E+01   .000E+00
     17.891       .000   .6330     .000   .884E+01   .000E+00
     17.946       .000   .6330     .000   .884E+01   .000E+00
     18.001       .000   .6330     .000   .883E+01   .000E+00
     18.055       .000   .6330     .000   .882E+01   .000E+00
     18.109       .000   .6330     .000   .881E+01   .000E+00
     18.162       .000   .6330     .000   .879E+01   .000E+00
     18.215       .000   .6330     .000   .878E+01   .000E+00
     18.268       .000   .6330     .000   .877E+01   .000E+00
     18.320       .000   .6330     .000   .875E+01   .000E+00
     18.372       .000   .6330     .000   .873E+01   .000E+00
     18.424       .000   .6330     .000   .872E+01   .000E+00
     18.475       .000   .6330     .000   .870E+01   .000E+00
     18.526       .000   .6330     .000   .868E+01   .000E+00
     18.576       .000   .6330     .000   .866E+01   .000E+00
     18.627       .000   .6330     .000   .864E+01   .000E+00
     18.677       .000   .6330     .000   .862E+01   .000E+00
     18.726       .000   .6330     .000   .860E+01   .000E+00
     18.775       .000   .6330     .000   .857E+01   .000E+00
     18.824       .000   .6330     .000   .855E+01   .000E+00
     18.873       .000   .6330     .000   .853E+01   .000E+00
     18.921       .000   .6330     .000   .850E+01   .000E+00
     18.970       .000   .6330     .000   .847E+01   .000E+00
     19.018       .000   .6330     .000   .845E+01   .000E+00
     19.065       .000   .6330     .000   .842E+01   .000E+00
     19.111       .000   .6330     .000   .839E+01   .000E+00
     19.158       .000   .6330     .000   .836E+01   .000E+00
     19.205       .000   .6330     .000   .833E+01   .000E+00
     19.252       .000   .6330     .000   .830E+01   .000E+00
     19.298       .000   .6330     .000   .827E+01   .000E+00
     19.345       .000   .6330     .000   .824E+01   .000E+00
     19.391       .000   .6330     .000   .821E+01   .000E+00
     19.437       .000   .6330     .000   .817E+01   .000E+00
     19.483       .000   .6330     .000   .814E+01   .000E+00
     19.528       .000   .6330     .000   .810E+01   .000E+00
     19.574       .000   .6330     .000   .807E+01   .000E+00
     19.619       .000   .6330     .000   .803E+01   .000E+00
     19.664       .000   .6330     .000   .800E+01   .000E+00
     19.706       .000   .6330     .000   .796E+01   .000E+00
     19.748       .000   .6330     .000   .793E+01   .000E+00
     19.790       .000   .6330     .000   .790E+01   .000E+00
     19.832       .000   .6330     .000   .786E+01   .000E+00
     19.874       .000   .6330     .000   .782E+01   .000E+00
     19.916       .000   .6330     .000   .779E+01   .000E+00
     19.958       .000   .6330     .000   .775E+01   .000E+00
     20.000       .000   .6330     .000   .771E+01   .000E+00
