

 Time  ***    120.0000 ***

    n    x(n)  z(n)     vz(n)     vz(n+1) ...
   63      .0     1.0  -.73E-02  -.73E-02
   65      .0      .0  -.73E-02  -.73E-02


 Time  ***    181.0000 ***

    n    x(n)  z(n)     vz(n)     vz(n+1) ...

    1      .0   230.0  -.18E-01  -.17E-01
    3      .0   229.0  -.28E-01  -.23E-01
    5      .0   228.0  -.41E-01  -.37E-01
    7      .0   226.0  -.55E-01  -.50E-01
    9      .0   224.0  -.72E-01  -.66E-01
   11      .0   220.0  -.95E-01  -.88E-01
   13      .0   215.0  -.12E+00  -.11E+00
   15      .0   210.0  -.13E+00  -.13E+00
   17      .0   205.0  -.13E+00  -.13E+00
   19      .0   200.0  -.12E+00  -.12E+00
   21      .0   190.0  -.68E-01  -.98E-01
   23      .0   180.0  -.13E+00  -.16E+00
   25      .0   170.0  -.10E+00  -.12E+00
   27      .0   160.0  -.91E-01  -.11E+00
   29      .0   150.0  -.75E-01  -.90E-01
   31      .0   140.0  -.56E-01  -.71E-01
   33      .0   130.0  -.37E-01  -.50E-01
   35      .0   120.0  -.21E-01  -.30E-01
   37      .0   110.0  -.96E-02  -.14E-01
   39      .0   100.0  -.63E-02  -.67E-02
   41      .0    90.0  -.59E-02  -.59E-02
   43      .0    80.0  -.59E-02  -.59E-02
   45      .0    70.0  -.59E-02  -.59E-02
   47      .0    60.0  -.59E-02  -.59E-02
   49      .0    50.0  -.59E-02  -.59E-02
   51      .0    40.0  -.59E-02  -.59E-02
   53      .0    30.0  -.59E-02  -.59E-02
   55      .0    20.0  -.59E-02  -.59E-02
   57      .0    10.0  -.59E-02  -.59E-02
   59      .0     5.0  -.59E-02  -.59E-02
   61      .0     2.0  -.59E-02  -.59E-02
   63      .0     1.0  -.59E-02  -.59E-02
   65      .0      .0  -.59E-02  -.59E-02


 Time  ***    212.0000 ***

    n    x(n)  z(n)     vz(n)     vz(n+1) ...

    1      .0   230.0  -.61E-02  -.53E-02
    3      .0   229.0  -.12E-01  -.91E-02
    5      .0   228.0  -.11E-01  -.13E-01
    7      .0   226.0  -.46E-03  -.46E-02
    9      .0   224.0   .15E-01   .93E-02
   11      .0   220.0   .38E-01   .31E-01
   13      .0   215.0   .69E-01   .64E-01
   15      .0   210.0   .11E+00   .11E+00
   17      .0   205.0   .16E+00   .16E+00
   19      .0   200.0   .19E+00   .22E+00
   21      .0   190.0   .19E+00   .28E+00
   23      .0   180.0   .29E+00   .37E+00
   25      .0   170.0   .22E+00   .26E+00
   27      .0   160.0   .20E+00   .23E+00
   29      .0   150.0   .18E+00   .21E+00
   31      .0   140.0   .16E+00   .18E+00
   33      .0   130.0   .14E+00   .16E+00
   35      .0   120.0   .12E+00   .14E+00
   37      .0   110.0   .98E-01   .12E+00
   39      .0   100.0   .77E-01   .94E-01
   41      .0    90.0   .56E-01   .71E-01
   43      .0    80.0   .36E-01   .48E-01
   45      .0    70.0   .17E-01   .26E-01
   47      .0    60.0   .37E-02   .85E-02
   49      .0    50.0  -.16E-02  -.18E-02
   51      .0    40.0  -.15E-02  -.15E-02
   53      .0    30.0  -.15E-02  -.15E-02
   55      .0    20.0  -.15E-02  -.15E-02
   57      .0    10.0  -.15E-02  -.15E-02
   59      .0     5.0  -.15E-02  -.15E-02
   61      .0     2.0  -.15E-02  -.15E-02
   63      .0     1.0  -.14E-02  -.15E-02
   65      .0      .0  -.14E-02  -.14E-02


 Time  ***    243.0000 ***

    n    x(n)  z(n)     vz(n)     vz(n+1) ...

    1      .0   230.0  -.50E-01  -.50E-01
    3      .0   229.0  -.50E-01  -.50E-01
