 Example 2 - Grass Field Problem (Hupselse Beek 1982)                           
                      
 
 Program CHAIN_2D
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = day  , M = -    


 Time  ***     90.0000 ***

    n    x(n)   z(n)      th(n)     th(n+1) ...
   25      .0   170.0  .200  .200
   27      .0   160.0  .207  .207
   29      .0   150.0  .214  .214
   31      .0   140.0  .222  .222
   33      .0   130.0  .231  .231
   35      .0   120.0  .239  .239
   37      .0   110.0  .249  .249
   39      .0   100.0  .260  .260
   41      .0    90.0  .271  .271
   43      .0    80.0  .283  .283
   45      .0    70.0  .295  .295
   47      .0    60.0  .308  .308
   49      .0    50.0  .320  .320
   51      .0    40.0  .331  .331
   53      .0    30.0  .338  .338
   55      .0    20.0  .339  .339
   57      .0    10.0  .339  .339
   59      .0     5.0  .339  .339
   61      .0     2.0  .339  .339
   63      .0     1.0  .339  .339
   65      .0      .0  .339  .339


 Time  ***    273.0000 ***

    n    x(n)   z(n)      th(n)     th(n+1) ...

    1      .0   230.0  .290  .290
    3      .0   229.0  .287  .287
    5      .0   228.0  .285  .285
    7      .0   226.0  .279  .279
    9      .0   224.0  .274  .274
   11      .0   220.0  .263  .263
   13      .0   215.0  .252  .252
   15      .0   210.0  .243  .243
   17      .0   205.0  .239  .239
   19      .0   200.0  .237  .237
   21      .0   190.0  .241  .241
   23      .0   180.0  .180  .180
   25      .0   170.0  .186  .186
   27      .0   160.0  .193  .193
   29      .0   150.0  .200  .200
   31      .0   140.0  .207  .207
   33      .0   130.0  .215  .215
   35      .0   120.0  .224  .224
   37      .0   110.0  .232  .232
   39      .0   100.0  .242  .242
   41      .0    90.0  .252  .252
   43      .0    80.0  .263  .263
   45      .0    70.0  .274  .274
   47      .0    60.0  .287  .287
   49      .0    50.0  .299  .299
   51      .0    40.0  .312  .312
   53      .0    30.0  .324  .324
   55      .0    20.0  .334  .334
   57      .0    10.0  .339  .339
   59      .0     5.0  .339  .339
   61      .0     2.0  .339  .339
   63      .0     1.0  .339  .339
   65      .0      .0  .339  .339
