

 Time  ***    120.0000 ***

    n    x(n)  z(n)     vx(n)     vx(n+1) ...
    n    x(n)  z(n)     vx(n)     vx(n+1) ...

    1      .0   230.0  -.90E-04  -.22E-04
    3      .0   229.0  -.20E-03  -.11E-03
    5      .0   228.0  -.19E-03  -.24E-03
    7      .0   226.0  -.84E-04  -.11E-03
    9      .0   224.0  -.14E-03  -.13E-03
   11      .0   220.0  -.34E-04  -.10E-03
   13      .0   215.0   .11E-04  -.14E-04
   15      .0   210.0   .20E-04   .13E-04
   17      .0   205.0   .59E-04   .25E-04
   19      .0   200.0   .17E-03   .97E-04
   21      .0   190.0   .17E-03   .26E-03
   23      .0   180.0  -.23E-03   .18E-03
   25      .0   170.0  -.73E-05  -.14E-03
   27      .0   160.0  -.10E-04  -.11E-04
   29      .0   150.0  -.56E-05  -.84E-05
   31      .0   140.0  -.90E-05  -.90E-05
   33      .0   130.0  -.45E-05  -.91E-05
   35      .0   120.0   .00E+00  -.29E-05
   37      .0   110.0   .00E+00   .00E+00
   39      .0   100.0   .00E+00   .00E+00
   41      .0    90.0   .00E+00   .00E+00
   43      .0    80.0   .00E+00   .00E+00
   45      .0    70.0   .00E+00   .00E+00
   47      .0    60.0   .00E+00   .00E+00
   49      .0    50.0   .00E+00   .00E+00
   51      .0    40.0   .00E+00   .00E+00
   53      .0    30.0   .00E+00   .00E+00
   55      .0    20.0   .00E+00   .00E+00
   57      .0    10.0   .00E+00   .00E+00
   59      .0     5.0   .00E+00   .00E+00
   61      .0     2.0   .00E+00   .00E+00
   63      .0     1.0   .00E+00   .00E+00
   65      .0      .0   .00E+00   .00E+00


 Time  ***    273.0000 ***

    n    x(n)  z(n)     vx(n)     vx(n+1) ...

    1      .0   230.0   .34E-02   .64E-02
    3      .0   229.0   .79E-03   .22E-02
    5      .0   228.0   .11E-02   .12E-02
    7      .0   226.0  -.45E-04   .47E-03
    9      .0   224.0  -.95E-03  -.11E-03
   11      .0   220.0  -.19E-02  -.12E-02
   13      .0   215.0  -.15E-02  -.14E-02
   15      .0   210.0  -.83E-03  -.11E-02
   17      .0   205.0  -.44E-03  -.53E-03
   19      .0   200.0  -.35E-03  -.52E-03
   21      .0   190.0   .12E-03  -.97E-04
   23      .0   180.0  -.16E-03   .99E-04
   25      .0   170.0   .10E-04  -.89E-04
   27      .0   160.0   .58E-05   .87E-05
   29      .0   150.0   .36E-05   .90E-05
   31      .0   140.0  -.57E-05  -.46E-05
   33      .0   130.0   .71E-05   .29E-05
   35      .0   120.0  -.56E-05   .19E-05
   37      .0   110.0  -.48E-05  -.72E-05
   39      .0   100.0   .00E+00  -.31E-05
   41      .0    90.0  -.41E-05   .00E+00
   43      .0    80.0  -.14E-04  -.11E-04
   45      .0    70.0  -.12E-04  -.15E-04
   47      .0    60.0  -.11E-04  -.16E-04
   49      .0    50.0  -.39E-05  -.77E-05
   51      .0    40.0  -.11E-04  -.11E-04
   53      .0    30.0  -.43E-05  -.87E-05
   55      .0    20.0  -.14E-04  -.14E-04
   57      .0    10.0   .85E-06  -.13E-04
   59      .0     5.0   .00E+00   .45E-06
   61      .0     2.0   .00E+00   .00E+00
   63      .0     1.0   .00E+00   .00E+00
   65      .0      .0   .00E+00   .00E+00
