


                         Node(***)                      Node(***)                      Node(***)                      Node(***)                      Node(

     time         hNew     theta     conc        hNew     theta     conc        hNew     theta     conc        hNew     theta     conc    
       .004     -4.308    .0727   .350E-16      2.460    .4500   .000E+00      6.149    .4500   .000E+00       .000    .4500   .000E+00
       .005     -4.308    .0727   .555E-16      2.459    .4500   .000E+00      6.148    .4500   .000E+00       .000    .4500   .000E+00
       .005     -4.308    .0727   .887E-16      2.458    .4500   .000E+00      6.147    .4500   .000E+00       .000    .4500   .000E+00
       .006     -4.308    .0727   .143E-15      2.457    .4500   .000E+00      6.146    .4500   .000E+00       .000    .4500   .000E+00
       .006     -4.308    .0727   .232E-15      2.456    .4500   .000E+00      6.145    .4500   .000E+00       .000    .4500   .000E+00
       .007     -4.308    .0727   .379E-15      2.455    .4500   .000E+00      6.144    .4500   .000E+00       .000    .4500   .000E+00
       .008     -4.308    .0727   .625E-15      2.454    .4500   .000E+00      6.143    .4500   .000E+00       .000    .4500   .000E+00
       .008     -4.308    .0727   .104E-14      2.452    .4500   .000E+00      6.142    .4500   .000E+00       .000    .4500   .000E+00
       .009     -4.308    .0727   .173E-14      2.451    .4500   .000E+00      6.140    .4500   .000E+00       .000    .4500   .000E+00
       .010     -4.308    .0727   .291E-14      2.449    .4500   .000E+00      6.139    .4500   .000E+00       .000    .4500   .000E+00
       .011     -4.308    .0727   .492E-14      2.447    .4500   .000E+00      6.137    .4500   .000E+00       .000    .4500   .000E+00
       .012     -4.308    .0727   .837E-14      2.445    .4500   .000E+00      6.135    .4500   .000E+00       .000    .4500   .000E+00
       .013     -4.308    .0727   .143E-13      2.443    .4500   .000E+00      6.133    .4500   .000E+00       .000    .4500   .000E+00
       .015     -4.308    .0727   .245E-13      2.440    .4500   .000E+00      6.131    .4500   .000E+00       .000    .4500   .000E+00
       .016     -4.308    .0727   .421E-13      2.437    .4500   .000E+00      6.129    .4500   .000E+00       .000    .4500   .000E+00
       .018     -4.308    .0727   .726E-13      2.434    .4500   .000E+00      6.126    .4500   .000E+00       .000    .4500   .000E+00
       .020     -4.308    .0727   .126E-12      2.431    .4500   .000E+00      6.123    .4500   .000E+00       .000    .4500   .000E+00
       .022     -4.308    .0727   .219E-12      2.427    .4500   .000E+00      6.119    .4500   .000E+00       .000    .4500   .000E+00
       .024     -4.308    .0727   .381E-12      2.423    .4500   .000E+00      6.116    .4500   .000E+00       .000    .4500   .000E+00
       .026     -4.308    .0727   .632E-12      2.419    .4500   .000E+00      6.112    .4500   .000E+00       .000    .4500   .000E+00
       .028     -4.308    .0727   .101E-11      2.415    .4500   .000E+00      6.108    .4500   .000E+00       .000    .4500   .000E+00
       .030     -4.308    .0727   .162E-11      2.410    .4500   .000E+00      6.105    .4500   .000E+00       .000    .4500   .000E+00
       .033     -4.308    .0727   .263E-11      2.406    .4500   .000E+00      6.100    .4500   .000E+00       .000    .4500   .000E+00
       .036     -4.308    .0727   .429E-11      2.400    .4500   .000E+00      6.096    .4500   .000E+00       .000    .4500   .000E+00
       .039     -4.308    .0727   .706E-11      2.394    .4500   .000E+00      6.091    .4500   .000E+00       .000    .4500   .000E+00
       .042     -4.308    .0727   .117E-10      2.388    .4500   .000E+00      6.086    .4500   .000E+00       .000    .4500   .000E+00
       .046     -4.308    .0727   .196E-10      2.381    .4500   .000E+00      6.080    .4500   .000E+00       .000    .4500   .000E+00
       .050     -4.308    .0727   .327E-10      2.373    .4500   .140E-44      6.074    .4500   .000E+00       .000    .4500   .000E+00
       .055     -4.308    .0727   .525E-10      2.365    .4500   .280E-44      6.067    .4500   .000E+00       .000    .4500   .000E+00
       .059     -4.308    .0727   .857E-10      2.355    .4500   .561E-44      6.059    .4500   .000E+00       .000    .4500   .000E+00
       .064     -4.308    .0727   .135E-09      2.345    .4500   .126E-43      6.051    .4500   .000E+00       .000    .4500   .000E+00
       .069     -4.308    .0727   .213E-09      2.335    .4500   .266E-43      6.043    .4500   .000E+00       .000    .4500   .000E+00
       .074     -4.308    .0727   .325E-09      2.326    .4500   .532E-43      6.035    .4500   .000E+00       .000    .4500   .000E+00
       .079     -4.308    .0727   .503E-09      2.316    .4500   .109E-42      6.025    .4500   .000E+00       .000    .4500   .000E+00
       .085     -4.308    .0727   .757E-09      2.306    .4500   .212E-42      6.017    .4500   .000E+00       .000    .4500   .000E+00
       .091     -4.308    .0727   .116E-08      2.295    .4500   .422E-42      6.007    .4500   .000E+00       .000    .4500   .000E+00
       .097     -4.308    .0727   .173E-08      2.285    .4500   .804E-42      5.997    .4500   .000E+00       .000    .4500   .000E+00
