 Example 2 - Grass Field Problem (Hupselse Beek 1982)

 Program SWMS_3D
 Date:  21. 7.    Time:  12:34:19
 Time dependent boundary conditions
 Units: L = cm   , T = day  , M = -
 All cumulative fluxes (CumQ) are positive out of the region

     Time     CumQAP      CumQRP     CumQA      CumQR     CumQ3       CumQ1      CumQS      CumQ5       CumQ6 ....
      [T]      [L3]        [L3]       [L3]       [L3]      [L3]        [L3]       [L3]       [L3]        [L3]

    109.5000  -.220E+01   .334E+01  -.220E+01   .334E+01   .583E+00   .000E+00   .000E+00   .000E+00   .000E+00
    110.0000  -.220E+01   .343E+01  -.220E+01   .343E+01   .593E+00   .000E+00   .000E+00   .000E+00   .000E+00
    110.5000  -.220E+01   .351E+01  -.220E+01   .351E+01   .603E+00   .000E+00   .000E+00   .000E+00   .000E+00
    111.0000  -.220E+01   .358E+01  -.220E+01   .358E+01   .613E+00   .000E+00   .000E+00   .000E+00   .000E+00
    111.5000  -.220E+01   .368E+01  -.220E+01   .368E+01   .622E+00   .000E+00   .000E+00   .000E+00   .000E+00
    112.0000  -.220E+01   .377E+01  -.220E+01   .377E+01   .631E+00   .000E+00   .000E+00   .000E+00   .000E+00
    112.5000  -.221E+01   .385E+01  -.221E+01   .385E+01   .640E+00   .000E+00   .000E+00   .000E+00   .000E+00
    113.0000  -.221E+01   .392E+01  -.221E+01   .392E+01   .649E+00   .000E+00   .000E+00   .000E+00   .000E+00
    113.5000  -.222E+01   .403E+01  -.222E+01   .403E+01   .657E+00   .000E+00   .000E+00   .000E+00   .000E+00
    114.0000  -.222E+01   .414E+01  -.222E+01   .414E+01   .665E+00   .000E+00   .000E+00   .000E+00   .000E+00
    114.5000  -.222E+01   .426E+01  -.222E+01   .426E+01   .673E+00   .000E+00   .000E+00   .000E+00   .000E+00
    115.0000  -.222E+01   .437E+01  -.222E+01   .437E+01   .681E+00   .000E+00   .000E+00   .000E+00   .000E+00
    115.5000  -.223E+01   .447E+01  -.223E+01   .447E+01   .688E+00   .000E+00   .000E+00   .000E+00   .000E+00
    116.0000  -.224E+01   .457E+01  -.224E+01   .457E+01   .695E+00   .000E+00   .000E+00   .000E+00   .000E+00
    116.5000  -.224E+01   .466E+01  -.224E+01   .466E+01   .702E+00   .000E+00   .000E+00   .000E+00   .000E+00
    117.0000  -.224E+01   .474E+01  -.224E+01   .474E+01   .709E+00   .000E+00   .000E+00   .000E+00   .000E+00
    117.5000  -.225E+01   .481E+01  -.225E+01   .481E+01   .716E+00   .000E+00   .000E+00   .000E+00   .000E+00
    118.0000  -.226E+01   .488E+01  -.226E+01   .488E+01   .722E+00   .000E+00   .000E+00   .000E+00   .000E+00
