

 TLevel   Time         dt      Iter  ItCum

    1    .900E+02    .200E-01    1     1
    2    .900E+02    .258E-01    2     3
    3    .901E+02    .341E-01    2     5
    4    .901E+02    .438E-01    2     7
    5    .902E+02    .584E-01    2     9
    6    .903E+02    .744E-01    2    11
    7    .903E+02    .929E-01    2    13
    8    .905E+02    .130E+00    2    15
    9    .907E+02    .173E+00    2    17
   10    .908E+02    .173E+00    2    19
   11    .910E+02    .173E+00    2    21
   12    .913E+02    .250E+00    2    23
   13    .916E+02    .375E+00    2    25
   14    .920E+02    .375E+00    2    27
   15    .925E+02    .500E+00    2    29
   16    .930E+02    .500E+00    2    31
   17    .935E+02    .500E+00    2    33
   18    .940E+02    .500E+00    3    36
   19    .945E+02    .500E+00    3    39
   20    .950E+02    .500E+00    3    42
   21    .955E+02    .500E+00    3    45
   22    .960E+02    .500E+00    2    47
   23    .965E+02    .500E+00    3    50
   24    .970E+02    .500E+00    3    53
   25    .975E+02    .500E+00    3    56
   26    .980E+02    .500E+00    3    59
   27    .985E+02    .500E+00    2    61
   28    .990E+02    .500E+00    2    63
   29    .995E+02    .500E+00    3    66
   30    .100E+03    .500E+00    2    68
   31    .101E+03    .500E+00    3    71
   32    .101E+03    .500E+00    3    74
   33    .102E+03    .500E+00    3    77
   34    .102E+03    .500E+00    3    80
   35    .103E+03    .500E+00    3    83
   36    .103E+03    .500E+00    2    85
   37    .104E+03    .500E+00    2    87
   38    .104E+03    .500E+00    2    89
   39    .105E+03    .500E+00    3    92
   40    .105E+03    .500E+00    3    95
   41    .106E+03    .500E+00    3    98
   42    .106E+03    .500E+00    2   100
   43    .107E+03    .500E+00    3   103
   44    .107E+03    .500E+00    3   106
   45    .108E+03    .500E+00    3   109
   46    .108E+03    .500E+00    3   112
   47    .109E+03    .500E+00    3   115
   48    .109E+03    .500E+00    3   118
   49    .110E+03    .500E+00    2   120
   50    .110E+03    .500E+00    2   122
   51    .111E+03    .500E+00    3   125
   52    .111E+03    .500E+00    2   127
   53    .112E+03    .500E+00    2   129
   54    .112E+03    .500E+00    2   131
   55    .113E+03    .500E+00    2   133
   56    .113E+03    .500E+00    2   135
   57    .114E+03    .500E+00    2   137
   58    .114E+03    .500E+00    2   139
   59    .115E+03    .500E+00    2   141
   60    .115E+03    .500E+00    3   144
   61    .116E+03    .500E+00    2   146
   62    .116E+03    .500E+00    2   148
   63    .117E+03    .500E+00    2   150
   64    .117E+03    .500E+00    2   152
   65    .118E+03    .500E+00    2   154
   66    .118E+03    .500E+00    2   156
   67    .119E+03    .500E+00    3   159
   68    .119E+03    .500E+00    3   162
   69    .120E+03    .500E+00    2   164
   70    .120E+03    .500E+00    2   166
   71    .121E+03    .500E+00    3   169
   72    .121E+03    .500E+00    3   172
   73    .122E+03    .500E+00    3   175
   74    .122E+03    .500E+00    2   177
   75    .123E+03    .500E+00    2   179
   76    .123E+03    .500E+00    2   181
   77    .124E+03    .500E+00    2   183
   78    .124E+03    .500E+00    2   185
   79    .125E+03    .500E+00    3   188
   80    .125E+03    .500E+00    3   191
   81    .126E+03    .500E+00    4   195
   82    .126E+03    .500E+00    4   199
   83    .127E+03    .500E+00    4   203
   84    .127E+03    .500E+00    4   207
   85    .128E+03    .500E+00    3   210
   86    .128E+03    .500E+00    2   212
   87    .129E+03    .500E+00    2   214
   88    .129E+03    .500E+00    3   217
   89    .130E+03    .500E+00    3   220
   90    .130E+03    .500E+00    3   223
   91    .131E+03    .500E+00    3   226
   92    .131E+03    .500E+00    3   229
   93    .132E+03    .500E+00    3   232
   94    .132E+03    .500E+00    3   235
   95    .133E+03    .500E+00    3   238
   96    .133E+03    .500E+00    3   241
   97    .134E+03    .500E+00    3   244
   98    .134E+03    .500E+00    3   247
   99    .135E+03    .500E+00    3   250
  100    .135E+03    .500E+00    3   253
  101    .136E+03    .500E+00    3   256
  102    .136E+03    .500E+00    3   259
  103    .137E+03    .500E+00    3   262
  104    .137E+03    .500E+00    3   265
  105    .138E+03    .500E+00    3   268
  106    .138E+03    .500E+00    3   271
  107    .139E+03    .500E+00    2   273
  108    .139E+03    .500E+00    2   275
  109    .140E+03    .500E+00    3   278
  110    .140E+03    .500E+00    3   281
  111    .141E+03    .500E+00    2   283
  112    .141E+03    .500E+00    2   285
  113    .142E+03    .500E+00    3   288
  114    .142E+03    .500E+00    3   291
  115    .143E+03    .500E+00    2   293
  116    .143E+03    .500E+00    2   295
  117    .144E+03    .500E+00    2   297
  118    .144E+03    .500E+00    2   299
  119    .145E+03    .500E+00    2   301
  120    .145E+03    .500E+00    2   303
